name,description,icon,tier
A-Verdi,Storage Containers,sponsor/a_verdi.webp,Blue Ribbon Sponsor
ADMAR ,Construction Equipment and Supplies,sponsor/admar.webp,Blue Ribbon Sponsor
ALPCO Recycling,Recycling and Waste Disposal,sponsor/alpco.webp,Blue Ribbon Sponsor
American Equipment LLC,Equipment Rental,sponsor/american_equipment.webp,Blue Ribbon Sponsor
AP Enterprises,Property Service,sponsor/ap_enterprises.webp,Blue Ribbon Sponsor
LaMarti's Repair,Automotive Repair,sponsor/auto_diesel.webp,Blue Ribbon Sponsor
LNB Bank,Banking,sponsor/bankwithlbn-logo.webp,Blue Ribbon Sponsor
John S. Blazey Inc.,Lawn and Agriculture Equipment,sponsor/blazey.webp,Blue Ribbon Sponsor
Brooks Enterprise,Landscaping and Construction,sponsor/brooksenterprise.webp,Blue Ribbon Sponsor
Eastern Shore Insurance,Insurance Services,sponsor/eastern_shore.webp,Blue Ribbon Sponsor
Farm Credit East,Financial Services,sponsor/farm_credit.webp,Blue Ribbon Sponsor
Fine Line Property Maintenance,Property Service,sponsor/fineline.webp,Blue Ribbon Sponsor
Finger Lakes Ambulance,Emergency Services,sponsor/finger_lakes_ambulance.webp,Blue Ribbon Sponsor
Fusion Digital,Computer and AV Services,sponsor/fusion_digital.webp,Blue Ribbon Sponsor
Genesee Valley Pennysaver,Publication,sponsor/genesee_valley.webp,Blue Ribbon Sponsor
Great Lakes Equipment,Agriculture Equipment,sponsor/great_lakes.webp,Blue Ribbon Sponsor
Hadley's Fab-Weld,Metal Services,sponsor/hadleys.webp,Blue Ribbon Sponsor
Heritage Structures,Construction Services,sponsor/heritage.webp,Blue Ribbon Sponsor
K&D Disposal,Recycling and Waste Disposal,sponsor/kd_disposal.webp,Blue Ribbon Sponsor
LandPRO Equipment,Agriculture Equipment,sponsor/landpro.webp,Blue Ribbon Sponsor
Long Construction,Construction Services,sponsor/long_construction.webp,Blue Ribbon Sponsor
Macedon Auto,Automotive Repair,sponsor/macedon_auto.webp,Blue Ribbon Sponsor
Mark's Pizzeria,Restaurant ,sponsor/marks.webp,Blue Ribbon Sponsor
McCarthy Tents & Events ,Party Rental,sponsor/mccarthy.webp,Blue Ribbon Sponsor
Motts Foods,Food Processing,sponsor/motts.webp,Blue Ribbon Sponsor
Farm Bureau New York,Financial Services,sponsor/ny_farm_bureau.webp,Blue Ribbon Sponsor
Pace Electronics ,Electronics Manufacturing,sponsor/pace.webp,Blue Ribbon Sponsor
Pepsico,Food Processing,sponsor/pepsico.webp,Blue Ribbon Sponsor
Q's Power Equipment,Agriculture Equipment,sponsor/qs_power.webp,Blue Ribbon Sponsor
Superior Plus Energy Services,Energy Services,sponsor/superior_plus.webp,Blue Ribbon Sponsor
TK Autoworks,Automotive Repair,sponsor/tk_auto.webp,Blue Ribbon Sponsor
T-Mobile,Communication Services,sponsor/tmobile.webp,Blue Ribbon Sponsor
Tractor Supply Co.,Farm Supply,sponsor/tractor_supply.webp,Blue Ribbon Sponsor
Vermi-Green LLC,Agriculture Products,sponsor/vermi_green.webp,Blue Ribbon Sponsor
Waste Management,Recycling and Waste Disposal,sponsor/waste_mgmt.webp,Blue Ribbon Sponsor
Wayne County,Government,sponsor/wayne_county.webp,Blue Ribbon Sponsor
